URL,Performance Score,Speed Index (s)
https://www.kampunginggris.id/nyaman-banget-belajar-di-lc-cita-dani-apriyanti-from-lampung,30.0,10.26
https://www.kampunginggris.id/pendekatan-tutor-dengan-murid-sangat-asik-afryan-ariesta-a-s-from-mojokerto,35.0,6.77
https://www.kampunginggris.id/seneng-banget-bisa-belajar-di-lc-dan-next-bakal-ke-lc-lagi-alluvia-haliza-from-samarinda,37.0,7.62
https://www.kampunginggris.id/saya-yang-baru-banget-belajar-bahasa-inggris-merasa-sangat-terbantu-setelah-belajar-di-lc-nur-malita-from-wakatobi,50.0,5.76
https://www.kampunginggris.id/awardee-toefl-training-lc-kampung-inggris-pare-rahma-melisha-from-padang,46.0,8.83
https://www.kampunginggris.id/belajar-bahasa-inggris-jadi-lebih-mudah-mega-aprilia-from-nganjuk,45.0,8.89
https://www.kampunginggris.id/testimoni-dwi-putra-from-kendari,32.0,7.93
https://www.kampunginggris.id/kita-gak-cuma-belajar-di-kelas-saja-tapi-bisa-dimanapun-dian-anggy-from-medan,39.0,7.99
https://www.kampunginggris.id/bukan-cuma-dapet-bahasa-inggris-tapi-jadi-makin-pd-tampil-di-depan-umum-alyaa-hanifaturrifdah-asal-sukabumi,38.0,6.46
https://www.kampunginggris.id/testimoni-dofandya-sukur-from-ambon,34.0,10.74
https://www.kampunginggris.id/metode-pembelajaran-yang-asyik-jadi-membuat-materi-lebih-mudah-dimengerti-resania-arin-from-bekasi,35.0,8.19
https://www.kampunginggris.id/teacher-dan-teman-teman-di-sini-gokil-dan-seru-banget-della-febriyan-from-banyuwangi,40.0,8.85
https://www.kampunginggris.id/selama-di-lc-saya-mendapatkan-banyak-ilmu-dan-berbagai-pengalaman-catra-ananda-from-gresik,48.0,8.07
https://www.kampunginggris.id/testimoni-kampung-inggris-pare-ambiya-dimas-from-sorong,38.0,8.33
https://www.kampunginggris.id/testimoni-kampung-inggris-lc-pramono-setyo-from-yogyakarta,41.0,8.15
https://www.kampunginggris.id/belajar-di-lc-kampung-inggris-bagas-pangestu-from-bandung,37.0,7.44
https://www.kampunginggris.id/belajar-bahasa-inggris-nggak-harus-mahal,52.0,8.21
https://www.kampunginggris.id/informasi-pendaftaran-kampung-inggris-periode-oktober-2018,47.0,7.46
https://www.kampunginggris.id/mengenali-dan-memahami-rhetorical-device-simile,44.0,9.02
https://www.kampunginggris.id/pengertian-short-functional-text-beserta-contohnya,35.0,7.99
https://www.kampunginggris.id/idiom-tentang-nama-hewan-dalam-bahasa-inggris,28.999999999999996,8.0
https://www.kampunginggris.id/25-contoh-dialog-expressing-sympathy-singkat-dalam-bahasa-inggris,44.0,7.31
https://www.kampunginggris.id/mengenal-struktur-narrative-text-dalam-bahasa-inggris-2,12.0,8.04
https://www.kampunginggris.id/mengenal-pengertian-dan-fungsi-supporting-sentence,51.0,6.65
https://www.kampunginggris.id/cara-memulai-topik-pembicaraan-di-chat-dengan-bahasa-inggris,34.0,7.42
https://www.kampunginggris.id/isi-libur-lebaran-dengan-belajar-english-berkualitas-bersama-lc-kampung-inggris,38.0,8.43
https://www.kampunginggris.id/contoh-naskah-interview-dalam-bahasa-inggris-dan-artinya,43.0,8.07
https://www.kampunginggris.id/pengertian-perfect-continuous-tense-disertai-rumus-dan-contoh,38.0,8.21
https://www.kampunginggris.id/mengenal-modal-verb-melalui-fungsi-dan-kegunaannya,39.0,8.8
https://www.kampunginggris.id/tips-dan-cara-menulis-lamaran-kerja-berbahasa-inggris,39.0,7.89
https://www.kampunginggris.id/kosakata-bahasa-inggris-untuk-perhotelan-dan-tourism,30.0,9.18
https://www.kampunginggris.id/penggunaan-may-dan-might-dan-contohnya,33.0,8.39
https://www.kampunginggris.id/informasi-pendaftaran-kampung-inggris-periode-mei-2018,28.999999999999996,8.43
https://www.kampunginggris.id/outing-class-desember-ceria-di-simpang-lima-gumul,52.0,7.56
https://www.kampunginggris.id/penjelasan-dan-contoh-surat-tidak-resmi-dalam-bahasa-inggris,30.0,7.93
https://www.kampunginggris.id/cara-bilang-pernah-dan-tidak-pernah-dalam-bahasa-inggris,36.0,7.44
https://www.kampunginggris.id/job-vocabulary-list,41.0,8.76
https://www.kampunginggris.id/cara-mendeskripsikan-tempat-dalam-bahasa-inggris-disertai-contoh,26.0,8.86
https://www.kampunginggris.id/made-of-vs-made-from,51.0,6.7
https://www.kampunginggris.id/contoh-grammar-dasar-bahasa-inggris-yang-harus-dipahami,38.0,7.86
https://www.kampunginggris.id/penggunaan-receive-dan-accept-dalam-bahasa-inggris,40.0,7.17
https://www.kampunginggris.id/ejaan-bahasa-inggris-beserta-pengucapannya-di-dalam-kata-kata,41.0,6.66
https://www.kampunginggris.id/tips-percakapan-telepon-bahasa-inggris-yang-musti-kamu-tahu,49.0,7.9
https://www.kampunginggris.id/3-contoh-percakapan-bahasa-inggris-singkat-beserta-artinya,34.0,8.6
https://www.kampunginggris.id/contoh-kalimat-causative-verb-dalam-bahasa-inggris,23.0,8.13
https://www.kampunginggris.id/mengerti-perbedaan-will-dan-going-to-dalam-kalimat-di-masa-depan,22.0,7.7
https://www.kampunginggris.id/cara-menumbuhkan-passion-dalam-belajar-bahasa-inggris,34.0,8.82
https://www.kampunginggris.id/kursus-bahasa-inggris-untuk-smp,47.0,7.0
https://www.kampunginggris.id/meski-sudah-jadi-mahasiswa-bahasa-inggris-harus-terus-di-upgrade,26.0,9.02
https://www.kampunginggris.id/intip-gambaran-tes-toeic-yang-akan-kamu-hadapi-biar-tidak-kaget,37.0,10.03
https://www.kampunginggris.id/perbedaan-gerund-dan-present-participle,10.0,10.35
https://www.kampunginggris.id/apa-itu-vice-versa,6.0,9.11
https://www.kampunginggris.id/holiday-atau-vacation,31.0,8.45
https://www.kampunginggris.id/cara-mendeskripsikan-orang-dalam-bahasa-inggris-dan-contohnya,15.0,9.1
https://www.kampunginggris.id/cara-daftar-kampung-inggris-pare,28.000000000000004,8.97
https://www.kampunginggris.id/garuda-park-tempat-belajar-dan-bersantai-asik-yang-wajib-kamu-singgahi-ketika-berada-di-kampung-inggris-pare,33.0,7.37
https://www.kampunginggris.id/kosakata-bahasa-inggris-paling-imut,33.0,7.52
https://www.kampunginggris.id/cara-meningkatkan-writing-skills,26.0,7.63
https://www.kampunginggris.id/perbedaan-dan-persamaan-spesifik-penggunaan-just-only,35.0,8.8
https://www.kampunginggris.id/cara-cepat-belajar-bahasa-inggris-untuk-pemula,27.0,7.62
https://www.kampunginggris.id/tips-memilih-materi-public-speaking,40.0,8.99
https://www.kampunginggris.id/percakapan-bahasa-inggris-sehari-hari,41.0,8.1
https://www.kampunginggris.id/website-belajar-bahasa-inggris-otodidak,30.0,8.29
https://www.kampunginggris.id/pengertian-dan-contoh-kalimat-appositive-phrase-dalam-bahasa-inggris,38.0,8.96
https://www.kampunginggris.id/interjection,28.000000000000004,8.57
https://www.kampunginggris.id/sudah-semahir-apakah-bahasa-inggrismu-tingkatkan-kemampuan-bahasa-inggris,36.0,7.94
https://www.kampunginggris.id/ketahui-cara-menggunakan-enough-dan-too,41.0,8.46
https://www.kampunginggris.id/meningkatkan-kemampuan-oral-bahasa-inggris,44.0,8.15
https://www.kampunginggris.id/mengenal-perbedaan-penggunaan-have-dan-has,55.00000000000001,6.84
https://www.kampunginggris.id/pengetian-dan-contoh-riddle-dalam-bahasa-inggris,33.0,8.82
https://www.kampunginggris.id/daftar-tempat-nongkrong-di-kampung-inggris-pare,27.0,8.26
https://www.kampunginggris.id/kuasai-singkatan-bahasa-inggris-berikut-ini,40.0,7.32
https://www.kampunginggris.id/lancar-bahasa-inggris-di-kampung-inggris,51.0,8.55
https://www.kampunginggris.id/asking-for-information-dan-contoh-penerapannya,33.0,8.11
https://www.kampunginggris.id/percakapan-bahasa-inggris-tentang-liburan,33.0,8.55
https://www.kampunginggris.id/tips-untuk-membuat-polite-request-dalam-bahasa-inggris,38.0,8.41
https://www.kampunginggris.id/tutornya-friendly-banget-jadi-enjoy-belajar-english-nya-sri-nadya-yuliani-from-makassar,42.0,8.39
https://www.kampunginggris.id/penggunaan-ditransitive-verb-dan-lingking-verb,56.00000000000001,7.39
https://www.kampunginggris.id/contoh-congratulation-dalam-situasi-formal-dan-kasual,45.0,8.3
https://www.kampunginggris.id/orang-tua-belajar-bahasa-inggris-why-not,41.0,8.24
https://www.kampunginggris.id/belajar-prepositions-definisi-penggunaan-dan-contohnya-lengkap,31.0,7.98
https://www.kampunginggris.id/35-fakta-terbaru-kampung-inggris,18.0,9.02
https://www.kampunginggris.id/uniknya-suasana-camp-kampung-inggris-pare,26.0,7.44
https://www.kampunginggris.id/camp-english-area-di-kampung-inggris-pare,27.0,7.94
https://www.kampunginggris.id/tempat-wisata-sekitaran-kampung-inggris-yang-bisa-ditempuh-menggunakan-sepeda,34.0,7.49
https://www.kampunginggris.id/sepeda-ontel-alat-transportasi-di-kampung-inggris,28.999999999999996,7.77
https://www.kampunginggris.id/budaya-unik-bersepeda-ontel-di-kampung-inggris-pare,45.0,7.75
https://www.kampunginggris.id/gak-hanya-belajar-di-kampung-inggris-bisa-lancar-speaking-bak-turis,35.0,10.44
